id,parent_id,question,text,result,conclusion,type,level
1,,Detección del Incidente,Sí, ha ocurrido un incidente,2,,question,1
2,,Detección del Incidente,No, es una falsa alarma,fin,No se detectó ningún incidente real. No se requieren acciones adicionales.,end,1
3,1,Evaluación de la Gravedad,Alto riesgo (ataque ransomware activo),4,,question,2
4,1,Evaluación de la Gravedad,Riesgo medio (intento de phishing sin éxito),5,,question,2
5,1,Evaluación de la Gravedad,Bajo riesgo (malware detectado y contenido),6,,question,2
6,3,Acciones Alto Riesgo,Aislar la red afectada,fin,La red afectada ha sido aislada para evitar la propagación del ataque.,end,3
7,3,Acciones Alto Riesgo,Preservar evidencia y continuar con operaciones limitadas,fin,La evidencia ha sido preservada y las operaciones continúan limitadamente.,end,3
8,4,Acciones Medio/Bajo Riesgo,Escalar el incidente al equipo de respuesta,fin,El incidente ha sido escalado al equipo de respuesta para un manejo adecuado.,end,3
9,5,Acciones Medio/Bajo Riesgo,Aplicar correcciones y monitorear,fin,Se aplicaron correcciones y se está monitoreando la situación.,end,3
10,6,Respuesta y Recuperación Alto/Medio,Implementar plan de recuperación de desastres,fin,El plan de recuperación de desastres ha sido implementado exitosamente.,end,4
11,6,Respuesta y Recuperación Alto/Medio,Realizar análisis forense detallado,fin,Se ha realizado un análisis forense detallado del incidente.,end,4
12,9,Respuesta y Recuperación Bajo,Reforzar las defensas y realizar formación de concienciación,fin,Se reforzaron las defensas y se realizó formación de concienciación.,end,4
13,9,Respuesta y Recuperación Bajo,Cerrar el incidente,fin,El incidente ha sido cerrado exitosamente.,end,4
